Dell|E6230i5-3320m|12.5|Intel Ci5-3320m|4|250|696897763632|399|https://www.frys.com/product/9907916?site=sr:SEARCH:MAIN_RSLT_PG|"Dell E6230 12.5'" Refurbished Laptop With Intel Ci5-3320m Processor, 4GB Memory, 250GB Hard Drive, Windows 10"|2019-09-24 17:48
Lenovo|N21CeleronN2840|11.6|Intel Celeron N2840|4|16|696897764257|199|https://www.frys.com/product/9914956?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo N21 11.6'" Refurbished Chromebook With Intel Celeron N2840 Processor, 4GB Memory, 16GB Storage, Chrome OS"|2019-09-24 17:48
Lenovo|TPX220i5-2520M|12.5|Intel Ci5-2520M|4|160|696897752902|349|https://www.frys.com/product/9831155?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo TP X220 12.5'" Refurbished Laptop With Intel Ci5-2520M Processor, 4GB Memory, 160GB Hard Drive, Windows 10"|2019-09-24 17:48
HP|8470PCi5-3230M|14.0|Intel Core i5-3230M|8|320|696897734717|399|https://www.frys.com/product/9647583?site=sr:SEARCH:MAIN_RSLT_PG|"HP 8470P 14'" Refurbished Laptop with Intel Core i5-3230M Processor 8GB Memory, 320GB Hard Drive,DVD, Windows 10 **90 Days Warranty**"|2019-09-24 17:48
Lenovo|TPX240i5-4300U|12.5|Intel Ci5-4300u|8|500|696897764264|399|https://www.frys.com/product/9914966?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo TP X240 12.5'" Refurbished Laptop With Intel Ci5-4300u Processor, 8GB Memory, 500GB Hard Drive, Windows 10"|2019-09-24 17:48
Dell|E6440Ci5-4200M|14.0|Intel Ci5-4200M|16|512|724962745983|599|https://www.frys.com/product/9939176?site=sr:SEARCH:MAIN_RSLT_PG|"Dell E6440 14'" Refurbished Laptop With Intel Ci5-4200M Processor, 16GB Memory, 512GB SSD, Windows 10"|2019-09-24 17:48
Lenovo|T420Ci5-2520M|14.1|Ci5-2520M|4|250|696897743108|349|https://www.frys.com/product/9721554?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo T420 14.1'" Refurbished Laptop With Ci5-2520M Processor, 4GB Memory, 250GB Hard Drive and Windows 10"|2019-09-24 17:48
Dell|E7440Ci5-4200U|14.0|Intel Ci5-4200U|8|128|696897751165|499|https://www.frys.com/product/9799944?site=sr:SEARCH:MAIN_RSLT_PG|"Dell E7440 14'" Touchscreen Refurbished Laptop With Intel Ci5-4200U Processor, 8GB Memory, 128GB SSD, Windows 10"|2019-09-24 17:48
Lenovo|X131EIntel1007U|11.6|Intel Celeron 1007U|4|320|696897751226|249|https://www.frys.com/product/9797874?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo X131E 11.6'" Refurbished Laptop With Intel Celeron 1007U Processor, 4GB Memory, 320GB Hard Drive, Windows 10 Home"|2019-09-24 17:48
Lenovo|TPT430i5-3210M|14.0|Intel Ci5-3210M|8|240|696897750199|449|https://www.frys.com/product/9779764?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo Thinkpad T430 14'" Refurbished Laptop With Intel Ci5-3210M Processor, 8GB Memory, 240GB SSD, Windows 10 Pro"|2019-09-24 17:48
HP|EB8440Pi5-520M|14.0|Intel Ci5-520M|4|160|696897763816|249|https://www.frys.com/product/9911496?site=sr:SEARCH:MAIN_RSLT_PG|"HP EB 8440P 14'" Refurbished Laptop With Intel Ci5-520M Processor, 4GB Memory, 160GB Hard Drive, DVD Rom, Windows 10"|2019-09-24 17:48
Dell|E5440i5-4300U|14.0|Intel Ci5-4300U|8|120|696897752919|399|https://www.frys.com/product/9831245?site=sr:SEARCH:MAIN_RSLT_PG|"Dell E5440 14'" Refurbished Laptop With Intel Ci5-4300U Processor, 8GB Memory, 120GB SSD, Windows 10"|2019-09-24 17:48
HP|ChromeBkG4N2840|11.6|Intel Celeron N2840|2|16|724962748779|149|https://www.frys.com/product/9941276?site=sr:SEARCH:MAIN_RSLT_PG|"HP G4 11.6'" Refurbished Chromebook With Intel Celeron N2840 Processor, 2GB Memory, 16GB SSD, Chrome OS"|2019-09-24 17:48
Lenovo|TP11eCel.N2920|11.6|Intel Celeorn N2920|4|16|696897764240|149|https://www.frys.com/product/9914936?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo TP 11e 11.6'" Refurbished Chromebook With Intel Celeorn N2920 Processor, 4GB Memory, 16GB Storage, Chrome OS"|2019-09-24 17:48
Lenovo|TPT450i5-5200U|14.0|Intel Ci5-5200U|12|360|696897751318|549|https://www.frys.com/product/9841175?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo TP T450 14'" Refurbished Laptop With Intel Ci5-5200U Processor, 12GB Memory, 360GB SSD, Windows 10"|2019-09-24 17:48
HP|9470Ci5-3427U|14.0|Intel Ci5-3427U|8|180|696897734533|399|https://www.frys.com/product/9647553?site=sr:SEARCH:MAIN_RSLT_PG|"HP 9470 14'" Refurbished Laptop With Intel Ci5-3427U Processor, 8GB Memory, 180GB SSD, Windows 10 **90 Days Warranty**"|2019-09-24 17:48
Dell|Insp.5000Ryzen5|15.6|AMD Ryzen 5 2500U|8|1000|884116293217|599|https://www.frys.com/product/9922656?site=sr:SEARCH:MAIN_RSLT_PG|"Dell i5575-A217SLV-PUS 15.6'" FHD Laptop With AMD Ryzen 5 2500U Processor, 8GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
Lenovo|TPT440Pi5-4300M|14.0|Intel Ci5-4300M|8|120|696897751301|349|https://www.frys.com/product/9841165?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo TP T440P 14'" Refurbished Laptop With Intel Ci5-4300M Processor, 8GB Memory, 120GB SSD, Windows 10"|2019-09-24 17:48
Lenovo|TPX230i5-3320M|12.5|Intel Ci5-3320M|4|120|696897751325|279|https://www.frys.com/product/9841065?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo TP X230 12.5'" Refurbished Laptop With Intel Ci5-3320M Processor, 4GB Memory, 120GB SSD, Windows 10"|2019-09-24 17:48
HP|PB6470BCi5-3210M|14.0|Intel Ci5-3210M|8|500|696897751172|249|https://www.frys.com/product/9800005?site=sr:SEARCH:MAIN_RSLT_PG|"HP PB 6470B 14'" Refurbished Laptop With Intel Ci5-3210M Processor, 8GB Memory, 500GB Hard Drive, DVD-ROM, Windows 10"|2019-09-24 17:48
Dell|Insp14Ryzen53500U|14.0|AMD Ryzen5 3500U|8|""|884116315094|699|https://www.frys.com/product/9922666?site=sr:SEARCH:MAIN_RSLT_PG|"Dell i5485-A094SLV-PUS 14'" FHD Laptop With AMD Ryzen5 3500U Processor, 8GB Memory, 256GB SSD, Radeon Vega8 R5 Graphics, Windows 10"|2019-09-24 17:48
HP|17-by0063i7-8550U|17.3|Intel Ci7-8550U|8|1000|192545877015|699|https://www.frys.com/product/9914906?site=sr:SEARCH:MAIN_RSLT_PG|"HP 17-by0063cl 17.3'" Refurbished Touchscreen Laptop With Intel Ci7-8550U Processor, 8GB Memory, 1TB Hard Drive, Windows 10 - Pale Gold & Ash Silver"|2019-09-24 17:48
HP|15-da0021i5-8250U|15.6|Intel Ci5-8250U|8|1000|193015924024|599|https://www.frys.com/product/9914926?site=sr:SEARCH:MAIN_RSLT_PG|"HP 15-da0021cy 15.6'" Refurbished Touchscreen Laptop With Intel Ci5-8250U Processor, 8GB Memory, 16GB Optane Memory, 1TB Hard Drive, Windows 10 - Rose Gold"|2019-09-24 17:48
HP|15-db0051R32200U|15.6|AMD Ryzen R3 2200U|8|1000|192545876735|399|https://www.frys.com/product/9856025?site=sr:SEARCH:MAIN_RSLT_PG|"HP 15-db0051 15.6'" Refurbished Laptop With AMD Ryzen R3 2200U Processor, 8GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
HP|15-cr0087Ci5-8250U|15.6|Intel Ci5-8250U|8|1000|193015565371|649|https://www.frys.com/product/9939166?site=sr:SEARCH:MAIN_RSLT_PG|"HP 15-cr0087cl 15.6'" 2-in-1 Touchscreen Refurbished Laptop With Intel Ci5-8250U Processor, 8GB Memory, 1TB Hard Drive + 16GB Optane Memory, Windows 10 - PaleGold Ash Silver"|2019-09-24 17:48
HP|15-bq213Ryzen52500|15.6|AMD Ryzen 5 2500U|8|256|193015864566|649|https://www.frys.com/product/9911536?site=sr:SEARCH:MAIN_RSLT_PG|"HP 15-bq213cl 15.6'" Refurbished Touchscreen 2-in-1 Laptop With AMD Ryzen 5 2500U Processor, 8GB Memory, 256GB SSD, Windows 10"|2019-09-24 17:48
HP|15-cs0053i5-8250U|15.6|Intel Ci5-8250U|12|1000|192545671026|599|https://www.frys.com/product/9814085?site=sr:SEARCH:MAIN_RSLT_PG|"HP Pavilion 15-cs0053 15.6'" Touchscreen Refurbished Laptop With Intel Ci5-8250U Processor, 12GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
Lenovo|ThinkpadYoga11E|11.6|Intel Celeron N2930|4|320|696897736896|199|https://www.frys.com/product/9686093?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo Refurbished Thinkpad Yoga 11E 11.6'" Touchscreen 2-in-1 Laptop With Intel Celeron N2930 Processor, 4GB memory, 320GB HD and Windows10 Home"|2019-09-24 17:48
Acer|A315-RFRyzen32200U|15.6|Ryzen 3 2200U|8|1000|191114710968|449|https://www.frys.com/product/9914666?site=sr:SEARCH:MAIN_RSLT_PG|"Acer A315-41-R3RF 15.6'" Laptop With Ryzen 3 2200U Processor, 8GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
Lenovo|Idea330A6-9225|15.6|AMD A6-9225|8|1000|193268599833|399|https://www.frys.com/product/9778624?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo Ideapad 330 15.6'" Laptop With AMD A6-9225 Processor, 8GB Memory, 1TB Hard Drive and Windows 10"|2019-09-24 17:48
Acer|A315-98Ryzen52500U|15.6|Ryzen 5 2500U|8|256|191114925553|529|https://www.frys.com/product/9914786?site=sr:SEARCH:MAIN_RSLT_PG|"Acer A315-41-R98U 15.6'" Laptop With Ryzen 5 2500U Processor, 8GB Memory, 256GB SSD, Windows 10"|2019-09-24 17:48
HP|15-db0004Ryz32200U|15.6|AMD Ryzen3 2200U|8|1000|193015125926|399|https://www.frys.com/product/9930236?site=sr:SEARCH:MAIN_RSLT_PG|"HP 15-db0004dx 15.6'" Refurbished Laptop With AMD Ryzen3 2200U Processor, 8GB Memory, 1TB Hard Drive, DVD-RW, Windows 10"|2019-09-24 17:48
HP|15-db0005Ryz52500U|15.6|AMD Ryzen5 2500U|8|128|193015125933|479|https://www.frys.com/product/9930226?site=sr:SEARCH:MAIN_RSLT_PG|"HP 15-db0005dx 15.6'" Touchscreen Refurbished Laptop With AMD Ryzen5 2500U Processor, 8GB Memory, 128GB SSD, DVD-RW, Windows 10"|2019-09-24 17:48
HP|EB8460Pi5-2520M|14.0|Intel Ci5-2520M|4|160|696897763823|199|https://www.frys.com/product/9911506?site=sr:SEARCH:MAIN_RSLT_PG|"HP EB 8460P 14'" Refurbished Laptop With Intel Ci5-2520M Processor, 4GB Memory, 160GB Hard Drive, DVDROM, Windows 10"|2019-09-24 17:48
Lenovo|FY696897743115|14.1|Intel Ci5-520M|4|160|696897743115|217|https://www.frys.com/product/9721544?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo T410 14.1'" Refurbished Laptop With Intel Ci5-520M Processor, 4GB Memory, 160GB Hard Drive and Windows 10"|2019-09-24 17:48
Dell|i5485-A186R3-3200U|14.0|AMD Ryzen 3 3200U|4|128|884116315186|399|https://www.frys.com/product/9943646?site=sr:SEARCH:MAIN_RSLT_PG|"Dell i5485-A186SLV-PUS 14'" Laptop With AMD Ryzen 3 3200U Processor, 4GB Memory, 128GB SSD, Windows 10S"|2019-09-24 17:48
Lenovo|TPYoga11eInt.Cel|11.6|Intel Celeron N2940|4|128|678021763220|199|https://www.frys.com/product/9814445?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo Thinkpad Yoga 11e 11.6'" 2-in-1 Touchscreen Refurbished Laptop With Intel Celeron N2940 Processor, 4GB Memory, 128GB SSD, Windows 10 Pro"|2019-09-24 17:48
HP|17-by0062i5-8250U|17.3|Intel Ci5-8250U|8|1000|192545877008|549|https://www.frys.com/product/9914896?site=sr:SEARCH:MAIN_RSLT_PG|"HP 17-by0062cl 17.3'" Refurbished Laptop With Intel Ci5-8250U Processor, 8GB Memory, 1TB Hard Drive, Windows 10. Silver"|2019-09-24 17:48
HP|15-da0022i5-8250U|15.6|Intel Ci5-8250U|8|1000|193015923980|549|https://www.frys.com/product/9914916?site=sr:SEARCH:MAIN_RSLT_PG|"HP 15-da0022cy 15.6'" Refurbished Touchscreen Laptop With Intel Ci5-8250U Processor, 8GB Memory +16GB Optane Memory, 1TB Hard Drive, Windows 10 Office 365 Personal 1 Yr - White"|2019-09-24 17:48
HP|15-da0020i5-8250U|15.6|Intel Ci5-8250U|8|1000|193015924017|549|https://www.frys.com/product/9914976?site=sr:SEARCH:MAIN_RSLT_PG|"HP 15-da0020cy 15.6'" Refurbished Touchscreen Laptop With Intel Ci5-8250U Processor, 8GB Memory, 1TB Hard Drive + 16GB Optane, Windows 10 - Blue"|2019-09-24 17:48
Dell|G7790i7-9750H|17.3|New Intel 9th Generation Intel® Core|16|1000|884116315940|1999|https://www.frys.com/product/9896625?site=sr:SEARCH:MAIN_RSLT_PG|"Dell G7790-7940GRY-PUS 17.3'" Gaming Laptop With New Intel 9th Generation Intel® Core'" i7-9750H Processor, 16GB Memory, 1TB Hard Drive, 256GB SSD, RTX2070 8GB Graphics, Windows 10"|2019-09-24 17:48
Acer|A315-BWRyzen52500U|15.6|Ryzen 5 2500U|12|1000|191114906934|549|https://www.frys.com/product/9914776?site=sr:SEARCH:MAIN_RSLT_PG|"Acer A315-41-R3BW 15.6'" Laptop With Ryzen 5 2500U Processor, 12GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
HP|14-ba253cli5-8265U|14.0|Intel Ci5-8265U|8|1000|193015985872|574|https://www.frys.com/product/9911526?site=sr:SEARCH:MAIN_RSLT_PG|"HP 14-ba253cl 14'" Refurbished Touchscreen 2-in-1 Laptop With Intel Ci5-8265U Processor, 8GB Memory, 1TB Hard Drive +16GB Optane Memory, Windows 10"|2019-09-24 17:48
HP|17-ca0010A9-9425|17.3|AMD A9-9425|8|2000|193015986350|449|https://www.frys.com/product/9841135?site=sr:SEARCH:MAIN_RSLT_PG|"HP 17-ca0010 17.3'" Touchscreen Refurbished Laptop With AMD A9-9425 Processor, 8GB Memory, 2TB Hard Drive, DVDRW, Windows 10, MS Office 365"|2019-09-24 17:48
Dell|Insp145482i7-8565U|14.0|Intel Ci7-8565U|16|512|884116313120|1199|https://www.frys.com/product/9851135?site=sr:SEARCH:MAIN_RSLT_PG|"Dell i5482-7120SLV-PUS 14'" 2-in-1 Touchscreen Laptop With Intel Ci7-8565U Processor, 16GB Memory, 512GB SSD, Windows 10"|2019-09-24 17:48
HP|Folio1040G1i5-4300|14.0|Intel Ci5-4300u|8|120|696897761416|299|https://www.frys.com/product/9877955?site=sr:SEARCH:MAIN_RSLT_PG|"HP Folio 1040G1 14'" Refurbished Laptop With Intel Ci5-4300u Processor, 8GB Memory, 120GB SSD, Windows 10"|2019-09-24 17:48
Dell|Insp153580i7-8565U|15.6|Intel Ci7-8565U|8|1000|884116315445|799|https://www.frys.com/product/9850665?site=sr:SEARCH:MAIN_RSLT_PG|"Dell i3580-7445BLK-PUS 15.6'" Laptop With Intel Ci7-8565U Processor, 8GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
HP|EB9480mi5-4300U|14.0|Intel Ci5-4300U|8|512|696897751295|349|https://www.frys.com/product/9841105?site=sr:SEARCH:MAIN_RSLT_PG|"HP EB 9480m 14'" Refurbished Laptop With Intel Ci5-4300U Processor, 8GB Memory, 512GB SSD, Windows 10"|2019-09-24 17:48
Dell|Insp145481i58265U|14.0|Intel Ci5-8265U|8|256|884116314684|749|https://www.frys.com/product/9851405?site=sr:SEARCH:MAIN_RSLT_PG|"Dell i5481-5684GRY-PUS 14'" 2-in-1 Touchscreen Laptop With Intel Ci5-8265U Processor, 8GB Memory, 256GB SSD, Windows 10S"|2019-09-24 17:48
Acer|A315-90LCA9-9420e|15.6|AMD A9-9420e|12|1000|193199075475|449|https://www.frys.com/product/9871315?site=sr:SEARCH:MAIN_RSLT_PG|"Acer A315-21-90LC 15.6'" Laptop With AMD A9-9420e Processor, 12GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
Dell|Insp155000i78565|15.6|Intel Ci7-8565U|8|256|884116314851|849|https://www.frys.com/product/9876535?site=sr:SEARCH:MAIN_RSLT_PG|"Dell i5584-7851SLV-PUS 15.6'" Laptop With Intel Ci7-8565U Processor, 8GB Memory, 256GB SSD , Windows 10"|2019-09-24 17:48
Dell|Insp145481i3-8145U|14.0|Intel i3-8145U|4|128|884116313236|419|https://www.frys.com/product/9851315?site=sr:SEARCH:MAIN_RSLT_PG|"Dell i5481-3236GRY-PUS 14'" 2-in-1 Touchscreen Laptop With Intel i3-8145U Processor, 4GB Memory, 128GB SSD, Windows 10S"|2019-09-24 17:48
Samsung|NP730i78565U|13.3|Intel Ci7-8565U|8|256|887276338804|999.99|https://www.frys.com/product/9930286?site=sr:SEARCH:MAIN_RSLT_PG|"Samsung NP730XBE-K01US 13.3'" Laptop With Intel Ci7-8565U Processor, 8GB Memory, 256GB SSD, Windows 10"|2019-09-24 17:48
Samsung|NB9Peni7-8565U|13.3|Intel Ci7-8565U|8|512|887276319933|1399.99|https://www.frys.com/product/9922836?site=sr:SEARCH:MAIN_RSLT_PG|"Samsung NP930SBE-K01US 13.3'" 2-in-1 Touchscreen Laptop With Intel Ci7-8565U Processor, 8GB Memory, 512GB SSD, Windows 10"|2019-09-24 17:48
Dell|G5590i5-9300H|15.6|Intel New 9th Generation Intel® Core|8|1000|884116315926|999|https://www.frys.com/product/9896615?site=sr:SEARCH:MAIN_RSLT_PG|"Dell G5590-5926 15.6'" Laptop With Intel New 9th Generation Intel® Core'" i5-9300H Processor, 8GB Memory, 1TB Hard Drive +128GB SSD, GTX 1650 4GB Graphics, Windows 10 - BLACK"|2019-09-24 17:48
Dell|G5590-i7-9750HBLK|15.6|9th Generation Intel® Core|16|1000|884116315872|1249|https://www.frys.com/product/9896595?site=sr:SEARCH:MAIN_RSLT_PG|"Dell G5590-7872BLK-PUS 15.6'" Full HD Gaming Laptop With 9th Generation Intel® Core'" i7-9750H, 16GB Memory, 128GB SSD+ 1TB Hard Drive, NVIDIA GTX1660Ti 6GB Graphics and Windows 10, BLACK"|2019-09-24 17:48
Dell|G5590-i79750HWHT|15.6|9th Generation Intel® Core|16|1000|884116315889|1249|https://www.frys.com/product/9896605?site=sr:SEARCH:MAIN_RSLT_PG|"Dell G5590-7889WHT-PUS 15.6'" Full HD Gaming Laptop With 9th Generation Intel® Core'" i7-9750H, 16GB Memory, 128GB SSD+ 1TB Hard Drive, GTX1660Ti 6GB Graphics and Windows 10, White"|2019-09-24 17:48
HP|14-df0023i3-8130U|14.0|Intel Ci3-8130U|4|128|193424231362|317|https://www.frys.com/product/9861255?site=sr:SEARCH:MAIN_RSLT_PG|"HP 14-df0023 14'" Refurbished Laptop With Intel Ci3-8130U Processor, 4GB Memory, 128GB SSD, Windows 10"|2019-09-24 17:48
Samsung|FlashCel.N4000|13.3|Intel Celeron N4000|4|""|887276343402|349|https://www.frys.com/product/9930296?site=sr:SEARCH:MAIN_RSLT_PG|"Samsung Notebook Flash Charcoal 13.3'" Laptop With Intel Celeron N4000 Processor, 4GB Memory, 64GB eMMC, Windows 10 Home S mode."|2019-09-24 17:48
Acer|Swift1SF114-32-P7BG|14.0|Intel Pentiun N5000|4|""|191114869857|349|https://www.frys.com/product/9658613?site=sr:SEARCH:MAIN_RSLT_PG|"Acer Swift 1 14'" Laptop With Intel Pentiun N5000 Processor, 4GB Memory, 64GB eMMC, Windows 10"|2019-09-24 17:48
